test_case,call_number,latency_seconds
1,1,0.058474063873291016
1,2,0.052017927169799805
1,3,0.051072120666503906
1,4,0.050698280334472656
1,5,0.050824880599975586
1,6,0.05390501022338867
1,7,0.055074214935302734
1,8,0.05699872970581055
1,9,0.052381038665771484
1,10,0.05481767654418945
1,11,0.059616804122924805
1,12,0.05749821662902832
1,13,0.05396103858947754
1,14,0.0528717041015625
1,15,0.055007219314575195
1,16,0.05314993858337402
1,17,0.05485701560974121
1,18,0.05549454689025879
1,19,0.057115793228149414
1,20,0.053984642028808594
1,21,0.052847862243652344
1,22,0.05828261375427246
1,23,0.05400872230529785
1,24,0.04923248291015625
1,25,0.04888439178466797
1,26,0.05028724670410156
1,27,0.05520510673522949
1,28,0.05501413345336914
1,29,0.05694079399108887
1,30,0.05831789970397949
1,31,0.0595088005065918
1,32,0.056870460510253906
1,33,0.052979469299316406
1,34,0.054419517517089844
1,35,0.04902362823486328
1,36,0.05100369453430176
1,37,0.04990029335021973
1,38,0.056392669677734375
1,39,0.05668830871582031
1,40,0.05424094200134277
1,41,0.04998159408569336
1,42,0.05150127410888672
1,43,0.048642873764038086
1,44,0.053519248962402344
1,45,0.054288625717163086
1,46,0.051332950592041016
1,47,0.051401615142822266
1,48,0.05795907974243164
1,49,0.0569758415222168
1,50,0.05306506156921387
1,51,0.052704811096191406
1,52,0.052069902420043945
1,53,0.04932594299316406
1,54,0.055715084075927734
1,55,0.0543818473815918
1,56,0.058762550354003906
1,57,0.06260037422180176
1,58,0.06632685661315918
1,59,0.05281877517700195
1,60,0.05266976356506348
1,61,0.0491185188293457
1,62,0.050217390060424805
1,63,0.04826164245605469
1,64,0.0520787239074707
1,65,0.05393481254577637
1,66,0.05623626708984375
1,67,0.058791160583496094
1,68,0.055149078369140625
1,69,0.055466651916503906
1,70,0.05298924446105957
1,71,0.05360841751098633
1,72,0.05593395233154297
1,73,0.05043315887451172
1,74,0.0588681697845459
1,75,0.054288387298583984
1,76,0.0554356575012207
1,77,0.055266618728637695
1,78,0.05091214179992676
1,79,0.0561065673828125
1,80,0.050717830657958984
1,81,0.05391526222229004
1,82,0.05680346488952637
1,83,0.05424070358276367
1,84,0.05106234550476074
1,85,0.05729842185974121
1,86,0.05375957489013672
1,87,0.05602097511291504
1,88,0.05301237106323242
1,89,0.05804014205932617
1,90,0.05092430114746094
1,91,0.05328035354614258
1,92,0.05058431625366211
1,93,0.055994510650634766
1,94,0.05417227745056152
1,95,0.057363271713256836
1,96,0.05216407775878906
1,97,0.06292009353637695
1,98,0.052812814712524414
1,99,0.05797386169433594
1,100,0.0570681095123291
2,1,0.05474090576171875
2,2,0.05846095085144043
2,3,0.05672097206115723
2,4,0.05229043960571289
2,5,0.05644798278808594
2,6,0.06453752517700195
2,7,0.05509781837463379
2,8,0.054060935974121094
2,9,0.05115795135498047
2,10,0.05939531326293945
