test_case,call_number,latency_seconds
4,52,0.0574643611907959
4,53,0.05613827705383301
4,54,0.058759212493896484
4,55,0.05751514434814453
4,56,0.05261564254760742
4,57,0.05751967430114746
4,58,0.059266090393066406
4,59,0.056119441986083984
4,60,0.05342817306518555
4,61,0.0566861629486084
4,62,0.05418515205383301
4,63,0.056594133377075195
4,64,0.05774283409118652
4,65,0.05769085884094238
4,66,0.05290842056274414
4,67,0.051946401596069336
4,68,0.057179927825927734
4,69,0.056653499603271484
4,70,0.05509781837463379
4,71,0.058365583419799805
4,72,0.05364513397216797
4,73,0.05590629577636719
4,74,0.052266836166381836
4,75,0.052568674087524414
4,76,0.0522768497467041
4,77,0.06791281700134277
4,78,0.05153536796569824
4,79,0.05637860298156738
4,80,0.053864479064941406
4,81,0.05117535591125488
4,82,0.054770708084106445
4,83,0.054764747619628906
4,84,0.05163455009460449
4,85,0.05981636047363281
4,86,0.05245471000671387
4,87,0.05613231658935547
4,88,0.053594350814819336
4,89,0.05185365676879883
4,90,0.053472280502319336
4,91,0.05814528465270996
4,92,0.055669307708740234
4,93,0.051423072814941406
4,94,0.051622867584228516
4,95,0.055469512939453125
4,96,0.05236411094665527
4,97,0.05725407600402832
4,98,0.0583348274230957
4,99,0.049500465393066406
4,100,0.051177024841308594
